LABEL_1,LABEL_2,LABEL_3,LABEL_4,LABEL_5,LABEL_6,LABEL_7,LABEL_8,LABEL_9,LABEL_10,LABEL_11,LABEL_12,LABEL_13,LABEL_14,LABEL_15,LABEL_16,LABEL_17,LABEL_18,LABEL_19,LABEL_20,LABEL_21,LABEL_22,LABEL_23,LABEL_24,LABEL_25,LABEL_26,LABEL_27,LABEL_28,LABEL_29,LABEL_30,LABEL_31,LABEL_32
1.77094,1.97934,2.75409,2.51759,3.59413,3.60089,2.73771,4.85007,1.96179,2.22268,2.83656,2.9354,2.54972,2.8942,2.65887,2.69538,2.57305,2.54683,2.27252,2.54674,2.17025,2.21044,2.9142,2.43127,1.80568,1.7033,1.93863,1.94998,2.16351,2.3056,1.80681,1.85513
2.41009,2.34701,3.11471,3.08164,4.25993,4.30417,3.50521,3.87393,2.46399,2.37323,3.98466,3.37433,2.74349,3.04746,3.12865,3.04827,2.53986,2.61276,2.30867,2.20763,1.92191,2.01553,2.59214,2.56076,1.57619,1.52377,2.04108,1.95812,2.53116,2.14941,1.61107,1.62074
2.54203,2.78041,3.07615,2.36547,3.06473,3.21292,4.558,4.57986,2.60102,2.35451,3.89311,3.4347,3.65704,3.48636,2.38311,2.6443,2.69141,2.73655,2.60495,2.55446,2.30124,2.29668,2.56903,2.54366,2.01133,2.11037,2.23043,2.09433,2.3524,2.56777,1.9133,1.70096
2.02121,2.10359,2.69373,2.68994,3.23864,3.59272,3.47025,3.23802,2.24703,2.0889,2.96548,2.50437,2.97327,2.94398,1.97507,2.0442,2.38771,2.20727,1.97058,1.89028,2.23498,2.19244,2.41399,2.83488,2.07415,1.98697,1.83119,1.75279,2.22235,2.09654,1.55424,1.49918
1.93812,2.00184,2.51807,2.40065,3.21942,2.96311,3.52801,3.20172,2.23254,2.04143,2.48845,2.24043,2.60111,2.76222,2.34578,2.11975,2.80455,2.6739,2.67567,2.37686,2.2473,2.38845,2.32043,2.45898,2.01282,2.10207,1.95209,1.93768,2.03043,2.16476,1.92877,1.8858
3.43948,3.42099,3.04011,2.77148,3.2548,3.46588,4.13402,4.90187,2.53713,2.44677,4.82406,4.37279,2.60632,3.09178,3.49456,3.94441,3.06154,3.05832,3.05591,3.21941,2.30116,2.50855,3.19526,3.28612,2.0387,2.10088,3.00742,3.28972,3.10249,3.19475,1.88627,1.94743
2.4825,2.46276,2.58826,2.4368,3.40935,3.25616,3.65152,3.00677,2.52542,2.33399,2.90032,2.53637,2.92474,3.01279,2.30306,2.33564,2.74343,2.3374,2.15104,2.03348,2.31635,2.0391,2.71433,3.38024,2.13849,2.07554,1.9574,1.78618,2.57883,2.36178,1.82848,1.83259
3.68281,3.63254,3.6466,3.42574,3.88184,3.96481,1.98024,3.55508,2.50904,2.60298,3.63646,3.7958,3.01826,2.87341,4.04603,3.97026,3.81106,3.64677,3.78245,3.92461,2.75988,2.98846,3.38568,3.27106,2.88713,2.98884,3.04663,3.27211,3.35842,3.48533,2.45124,2.46689
1.39478,1.35644,1.87792,2.01644,3.28567,3.18479,2.21622,1.98833,1.45223,1.52308,2.29363,1.75373,1.96488,1.8885,2.14754,2.11493,1.76106,1.80052,1.65768,1.62292,1.41077,1.51195,1.58909,1.68421,1.18847,1.24272,1.37384,1.45449,1.63801,1.48552,1.23064,1.27118
1.70651,2.19702,2.41317,2.24427,2.89691,3.34384,2.40782,2.58255,2.20838,1.77292,2.7951,2.23243,2.38356,2.40846,1.99797,2.12627,2.32974,2.08014,2.17505,1.9031,1.96429,1.79993,2.10882,2.38009,1.80147,1.59659,1.68383,1.68049,1.88087,2.10718,1.46444,1.53549
2.96852,3.05351,2.76114,2.45597,3.62171,3.62733,3.59374,3.17926,2.11966,1.74296,3.65518,2.83096,3.0334,2.87329,2.30366,3.14847,2.77929,2.66937,2.53876,2.49694,2.53785,2.34669,2.51899,2.97096,1.98265,2.03198,1.96549,1.96906,2.67119,2.41249,1.60947,1.53036
2.43409,2.49407,2.40445,2.2365,2.61741,2.95804,2.76888,2.5195,2.41756,2.10407,2.62863,2.55145,2.22709,2.48162,2.54572,2.24267,2.32584,2.19853,2.32425,2.12958,1.79491,1.83781,2.23075,2.42051,2.0783,1.90484,1.98467,1.70457,2.49291,2.43787,1.91666,1.89314
2.52986,2.9886,2.8925,3.05563,2.88711,3.75506,2.99159,3.34548,2.18669,2.25722,2.77522,3.33596,2.49984,3.19642,3.55236,3.02566,2.79996,2.88641,2.87442,2.49751,2.137,2.20534,3.0382,3.17779,1.99657,2.32106,2.01492,2.01306,2.25817,2.72868,1.89942,1.70874
2.1867,2.55547,2.71842,2.7034,3.25732,3.66294,3.06693,2.39078,2.29527,2.08117,3.3234,3.88107,3.17587,3.44588,3.25623,2.94584,2.50004,2.61349,2.18387,2.30705,1.96279,2.31765,2.05772,2.46542,1.72878,1.70842,1.88732,1.94351,2.38419,2.259,1.43935,1.63421
2.78187,2.94313,3.26846,2.85593,3.07491,3.74022,3.00823,3.26479,2.30951,1.97489,2.92075,2.25539,3.11906,2.97989,2.12452,2.40055,2.85725,2.57709,2.30245,2.35839,2.32566,2.8378,2.52126,2.97124,2.20869,2.08473,2.22488,2.17225,2.56123,2.34126,2.04673,1.85519
3.03737,3.1021,2.97987,2.65228,3.32282,3.09344,3.80779,3.2126,2.27063,1.9859,3.26897,3.14285,2.7116,3.01534,2.76575,2.6269,2.87062,3.0719,2.99474,3.16513,2.31144,2.55942,2.30031,2.47925,2.29685,2.16884,2.63163,2.44871,2.77527,3.12088,2.15454,1.97653
1.71425,1.63646,2.59337,2.13784,3.77534,3.56879,2.78535,3.2695,2.39555,1.74397,2.74395,1.82839,2.47203,2.25423,2.5175,2.23933,2.61743,2.37492,2.14749,1.92059,2.10809,2.04323,2.26024,2.42282,1.8033,1.74446,1.59475,1.49702,2.12087,1.84696,1.70835,1.43444
1.65205,1.77136,2.31246,2.41234,3.04973,3.40829,2.35141,2.47099,1.87013,2.03796,2.68159,2.43832,1.92628,2.18896,2.74492,2.74015,2.53579,2.55934,2.32769,2.0737,1.9014,2.03844,2.42813,2.13563,1.86715,1.73872,1.69562,1.75623,2.2131,1.89789,1.59684,1.5281
2.19539,2.30076,3.45146,3.65855,4.82162,4.70804,4.12875,4.02555,2.25498,2.16895,3.16799,3.17802,3.05222,2.70779,3.88478,3.83948,2.56532,2.62319,2.97005,2.65155,2.11471,1.80285,3.30055,2.60401,1.55628,1.30105,1.62736,1.88096,2.22054,2.14041,1.55078,1.65368
2.21999,2.10486,2.18521,1.98057,3.27776,3.238,3.62016,2.60027,2.21347,1.79332,2.97039,2.60484,2.56245,2.70821,2.00248,2.13088,2.16698,2.19528,2.03447,1.87106,1.79556,1.87643,1.88384,2.18268,1.88803,1.76142,2.15475,1.84673,2.23169,2.13216,1.71509,1.51663
1.91807,2.358,3.44095,3.42087,4.34772,4.44631,3.21371,4.36492,2.44452,2.30089,3.19249,3.11564,2.47648,2.68493,4.14431,3.80118,3.29179,3.45245,3.03152,3.07455,3.00432,2.59743,3.87889,3.43773,2.36302,2.25496,2.06657,2.18643,2.70824,2.55359,1.94088,1.74553
2.46415,2.68179,3.39731,2.99024,3.37561,3.52647,4.27873,3.71654,2.80206,2.38268,3.54868,3.10219,3.40529,2.91357,2.97585,3.4309,3.04459,2.94183,2.9902,2.93572,2.99167,3.15039,3.18613,3.57879,2.2965,2.26676,2.13263,2.2072,2.84549,2.61813,2.25909,2.07397
