LABEL_1,LABEL_2,LABEL_3,LABEL_4,LABEL_5,LABEL_6,LABEL_7,LABEL_8,LABEL_9,LABEL_10,LABEL_11,LABEL_12,LABEL_13,LABEL_14,LABEL_15,LABEL_16,LABEL_17,LABEL_18,LABEL_19,LABEL_20,LABEL_21,LABEL_22,LABEL_23,LABEL_24,LABEL_25,LABEL_26,LABEL_27,LABEL_28,LABEL_29,LABEL_30,LABEL_31,LABEL_32
28089,31675,14995,13335,6826,6907,7727,9070,15205,13376,32023,33572,12519,11985,5459,6416,26900,27353,21561,21981,9876,11581,14421,14431,20489,20195,21300,19478,24491,26939,14163,13876
24289,22843,12303,13333,6041,5674,9151,11323,14328,11812,30908,30455,11799,11538,5737,7162,23189,24388,18509,19426,8862,9393,13391,14632,17824,17827,17764,18358,21333,22525,12306,11238
27542,26983,14320,13396,6185,5971,7396,9622,15325,13560,29287,32496,11184,11685,5671,6150,23057,24557,19643,19529,9662,9673,15046,15006,18141,19385,20329,19010,25474,25885,14785,15805
26400,31264,13479,13240,7474,7255,8162,10171,17875,13833,34519,36552,13316,12352,6423,6682,25256,24447,20460,19051,9426,10075,15530,14112,18819,18328,22131,20809,26304,29013,14484,14077
28958,36622,17311,15890,8278,8281,9805,12365,20422,17017,42176,41282,14143,12809,6785,6870,27760,31334,24274,23421,12200,12697,17549,17510,24295,24696,23412,22639,29952,34006,18026,18304
25380,24357,14466,11741,5843,6123,6234,7540,12655,10786,26404,26633,9897,9530,4518,5220,18790,20316,17333,17454,8140,9981,12806,13501,19053,17804,19393,16840,20629,22535,15403,15885
24650,26639,12739,12182,6619,5915,6750,7517,13763,12508,29851,27698,9315,8486,5269,5890,22339,21831,20109,19639,8468,8913,13681,13221,19161,17615,21842,18012,22029,21799,13222,12080
21250,20986,10357,9916,5394,5194,5784,8093,9722,8592,24769,26070,8623,8157,4089,4487,16128,15374,13364,13302,7497,6276,11159,10769,11733,11619,16549,14969,18013,18961,8085,8067
26040,28122,14826,12763,6517,6325,8554,10139,16239,12548,31775,31009,12033,10468,5542,6573,24382,25438,18812,19493,9146,10440,15375,14247,18925,18654,20464,19600,23878,24628,13162,12410
16300,16777,8184,7636,4810,4972,6078,7713,9734,8579,22451,21484,8762,7656,3789,4353,16683,16441,12565,13132,6232,6811,10630,9518,10000,11359,12616,12640,17630,17701,11065,10181
29989,29079,15016,14602,6951,6839,7399,8819,15352,14152,35121,35430,10974,10595,5891,6409,25046,25436,21216,20690,9639,10737,14596,14966,21124,20088,21674,21068,27049,29255,16209,16855
23978,27290,12233,11248,6182,5712,9384,11485,14323,9972,31056,28326,11109,9658,4261,4901,20409,21944,16950,17321,8128,9044,12537,11970,15073,14988,19509,17938,20112,21104,12406,8537
26261,29375,12923,12519,7138,6901,9673,11801,15943,12324,35061,32171,12505,11424,5842,6589,23668,23112,19580,19291,9683,11197,15566,15063,19519,19563,20371,20903,24231,25753,12920,12454
30767,30260,15154,14865,7476,6990,8866,11832,14948,13027,37095,35574,12562,12479,6004,7407,26384,26079,22473,22336,10565,10737,15421,15103,19229,19009,22632,22855,27063,29010,17140,17012
27610,28933,14877,13657,7190,6708,8845,10053,13085,13260,31932,32343,12758,12578,5142,5957,23941,22857,21170,22243,10073,10171,14024,14635,20489,19125,20327,20502,21863,24805,13671,13909
22638,22622,11998,10478,6587,6326,9712,10189,14221,11511,31434,29552,11522,10708,6038,6604,22358,22549,18587,19301,8965,10157,14207,13381,17398,17208,18856,20218,24307,23992,13627,11403
20095,20878,10400,9980,5287,5301,6767,7083,11703,10284,23651,24831,9484,9352,5369,5390,18640,18656,16448,15811,7984,8480,10795,10618,13315,13530,14694,12552,16481,19518,11057,9125
20038,21824,10605,9492,5907,5613,5707,7415,11953,10651,23905,24942,9930,9093,4343,5229,17697,17433,16861,16507,7852,8755,11808,11415,14819,14500,16547,15238,18920,20340,11079,10666
26701,25977,15514,13239,6712,6128,5510,7648,15480,11966,30556,27982,10424,6530,4709,6101,24442,24850,20220,20781,10371,10727,13922,13930,20943,21187,23820,22446,25544,23845,14732,14052
22087,24575,12873,12473,6142,6657,8923,9882,14046,10388,34150,30679,13619,12191,5428,6096,21665,21070,18209,18717,9553,9973,14341,13339,16417,16627,18585,17471,24726,22677,11984,11987
21279,22841,11447,10822,5530,5213,7488,7581,12855,11438,26517,26414,10069,9483,4599,4866,20129,20005,15919,15470,7672,7492,10518,11028,12562,14517,18374,15810,21234,23157,12525,12967
25222,29157,15507,13972,7051,6970,8334,9730,15544,13615,31580,29678,11074,9837,5372,5467,23405,26389,20871,19705,10663,11739,14845,15057,19279,19951,21601,20963,25887,27590,15298,15488
19347,21558,10967,10465,6091,5785,6616,8887,13114,10344,26509,25394,11062,10416,4397,4734,20824,20253,15914,16269,8859,9153,12231,11525,16549,16894,18792,16988,20517,20650,11204,10716
26337,30275,11030,10521,5727,5492,8300,8039,13009,10827,30581,31005,11925,10397,5277,5600,21062,20507,17123,16615,7789,8963,12917,12321,18740,18369,18682,18052,21401,21270,13529,11561
24270,24325,13003,11771,6416,5830,6596,8338,14534,11501,29849,29881,11513,10495,4640,6205,23414,20833,17286,19410,9106,11055,14839,15113,17104,17234,19402,18081,22016,22059,13568,14503
19911,18367,10610,9498,5456,5088,7028,8404,10782,9093,24892,24638,9428,9266,4284,4770,16889,16959,15341,16484,7010,7091,11359,11112,13862,15798,16019,14611,18039,18969,10756,11946
25931,29378,15566,14165,7361,6604,10655,11067,16152,13870,34593,35012,12869,12550,6487,6944,26818,25928,20706,19891,10184,10243,14521,15072,21588,21181,20611,18348,24114,27656,16438,16622
26858,27624,13214,12605,6237,6683,8316,10478,14918,12505,34651,35455,11596,10697,6108,6731,25412,23388,17816,19840,9793,9912,15527,15130,18864,19224,20583,19912,24783,25117,16470,14529
23207,21444,13772,12450,6540,6553,7722,9986,14415,12752,28766,29409,9782,8868,5352,5686,21578,22703,18984,18647,9578,10760,13275,13413,18442,19745,17256,16111,22381,23244,13636,12309
18767,19699,11233,11391,5213,4967,5975,7393,12126,11460,26469,26998,10360,10303,4304,4713,18653,17088,15731,16686,7575,8574,12408,12273,14203,14616,14950,12886,20334,21968,11256,11222
30358,30717,14498,12153,7008,6271,8032,11361,15747,13985,33850,37266,12020,11220,5178,7406,21844,23167,18719,20755,8842,10173,15566,15235,19449,18371,21126,20586,25512,25576,14556,14858
27561,26000,12655,12023,6899,6690,9026,11058,14507,10994,30774,33079,11816,10422,5002,6322,20912,21620,19531,19607,8572,9146,14139,13864,17158,17745,19073,17398,20225,23001,11407,12391
21718,22773,13157,12793,5340,5765,7088,9553,14134,11939,30900,32738,11524,11114,5430,5297,22994,22234,20819,18898,9000,9875,13700,12676,18034,18979,19056,17739,21381,23332,11697,9239
26032,28661,12068,11348,6995,6855,6261,9104,15382,11315,30799,30570,11207,10313,4569,5827,20157,21052,17012,17905,9662,10787,14423,13348,15987,17368,18198,17222,23193,22350,14194,12442
23613,23611,13938,13249,6237,5733,7665,10130,15187,12628,32162,32203,11151,10214,5405,7250,25682,25943,18532,18372,9264,10459,14422,14545,19259,18878,21445,18866,23977,26023,15037,16212
23352,20868,12427,11204,5911,5805,10049,11788,15200,9945,32777,30875,11676,9889,5473,6765,20966,22062,18081,18042,8958,9070,14113,14557,15079,15687,20866,18237,23978,20240,11999,11708
